serum,virus,replicate,concentration,fraction infectivity
SCH23-y2021-s056,N165H,1,0.005,0.0564
SCH23-y2021-s056,N165H,1,0.0025,-0.0269
SCH23-y2021-s056,N165H,1,0.00125,-0.0350
SCH23-y2021-s056,N165H,1,0.000625,-0.0132
SCH23-y2021-s056,N165H,1,0.0003125,-0.0008
SCH23-y2021-s056,N165H,1,0.00015625,0.0699
SCH23-y2021-s056,N165H,1,0.000078125,0.3342
SCH23-y2021-s056,N165H,1,0.0000390625,0.8164
SCH23-y2021-s056,N165H,1,0.00001953125,0.9710
SCH23-y2021-s056,N165H,1,0.000009765625,1.0966
SCH23-y2021-s056,N165H,2,0.005,0.0394
SCH23-y2021-s056,N165H,2,0.0025,0.0068
SCH23-y2021-s056,N165H,2,0.00125,-0.0064
SCH23-y2021-s056,N165H,2,0.000625,0.0587
SCH23-y2021-s056,N165H,2,0.0003125,0.0481
SCH23-y2021-s056,N165H,2,0.00015625,0.0579
SCH23-y2021-s056,N165H,2,0.000078125,0.4213
SCH23-y2021-s056,N165H,2,0.0000390625,0.5724
SCH23-y2021-s056,N165H,2,0.00001953125,0.9765
SCH23-y2021-s056,N165H,2,0.000009765625,1.0525
SCH23-y2016-s037,N165H,1,0.005,0.0136
SCH23-y2016-s037,N165H,1,0.0025,0.0572
SCH23-y2016-s037,N165H,1,0.00125,0.0300
SCH23-y2016-s037,N165H,1,0.000625,0.0815
SCH23-y2016-s037,N165H,1,0.0003125,0.0743
SCH23-y2016-s037,N165H,1,0.00015625,0.3580
SCH23-y2016-s037,N165H,1,0.000078125,0.8178
SCH23-y2016-s037,N165H,1,0.0000390625,1.0690
SCH23-y2016-s037,N165H,1,0.00001953125,0.9724
SCH23-y2016-s037,N165H,1,0.000009765625,0.9020
SCH23-y2016-s037,N165H,2,0.005,0.0598
SCH23-y2016-s037,N165H,2,0.0025,0.0535
SCH23-y2016-s037,N165H,2,0.00125,0.1169
SCH23-y2016-s037,N165H,2,0.000625,0.0540
SCH23-y2016-s037,N165H,2,0.0003125,0.0796
SCH23-y2016-s037,N165H,2,0.00015625,0.3640
SCH23-y2016-s037,N165H,2,0.000078125,0.7474
SCH23-y2016-s037,N165H,2,0.0000390625,0.8537
SCH23-y2016-s037,N165H,2,0.00001953125,0.9544
SCH23-y2016-s037,N165H,2,0.000009765625,0.9544
SCH23-y2009-s002,N165H,1,0.01,0.0887
SCH23-y2009-s002,N165H,1,0.005,0.1112
SCH23-y2009-s002,N165H,1,0.0025,0.3685
SCH23-y2009-s002,N165H,1,0.00125,0.6244
SCH23-y2009-s002,N165H,1,0.000625,1.0166
SCH23-y2009-s002,N165H,1,0.0003125,0.8965
SCH23-y2009-s002,N165H,1,0.00015625,0.9972
SCH23-y2009-s002,N165H,1,0.000078125,1.0745
SCH23-y2009-s002,N165H,1,0.0000390625,1.1215
SCH23-y2009-s002,N165H,1,0.00001953125,1.0649
SCH23-y2009-s002,N165H,2,0.01,0.1274
SCH23-y2009-s002,N165H,2,0.005,0.0534
SCH23-y2009-s002,N165H,2,0.0025,0.3175
SCH23-y2009-s002,N165H,2,0.00125,0.6506
SCH23-y2009-s002,N165H,2,0.000625,1.0221
SCH23-y2009-s002,N165H,2,0.0003125,1.0594
SCH23-y2009-s002,N165H,2,0.00015625,0.9227
SCH23-y2009-s002,N165H,2,0.000078125,0.9310
SCH23-y2009-s002,N165H,2,0.0000390625,1.0842
SCH23-y2009-s002,N165H,2,0.00001953125,1.0179
SCH23-y2009-s007,N165H,1,0.01,0.0855
SCH23-y2009-s007,N165H,1,0.005,0.0934
SCH23-y2009-s007,N165H,1,0.0025,0.0942
SCH23-y2009-s007,N165H,1,0.00125,0.3438
SCH23-y2009-s007,N165H,1,0.000625,0.5962
SCH23-y2009-s007,N165H,1,0.0003125,0.9310
SCH23-y2009-s007,N165H,1,0.00015625,0.7501
SCH23-y2009-s007,N165H,1,0.000078125,0.9765
SCH23-y2009-s007,N165H,1,0.0000390625,0.9227
SCH23-y2009-s007,N165H,1,0.00001953125,0.9752
SCH23-y2009-s007,N165H,2,0.01,0.0195
SCH23-y2009-s007,N165H,2,0.005,0.0206
SCH23-y2009-s007,N165H,2,0.0025,0.1470
SCH23-y2009-s007,N165H,2,0.00125,0.3152
SCH23-y2009-s007,N165H,2,0.000625,0.6070
SCH23-y2009-s007,N165H,2,0.0003125,0.8495
SCH23-y2009-s007,N165H,2,0.00015625,0.8758
SCH23-y2009-s007,N165H,2,0.000078125,0.7943
SCH23-y2009-s007,N165H,2,0.0000390625,1.0497
SCH23-y2009-s007,N165H,2,0.00001953125,0.9821
